Rank,Song,Artist,Year
22,Golden Earrings,Peggy Lee,1948
23,Baby Face,Art Mooney,1948
23,Too Fat Polka,Arthur Godfrey,1948
24,Because,Perry Como,1948
24,My Happiness,Ella Fitzgerald,1948
25,Serenade of the Bells,Sammy Kaye,1948
26,Until,Tommy Dorsey,1948
27,William Tell Overture,Spike Jones,1948
28,Beg Your Pardon,Frankie Carle,1948
29,St. Louis Blues March,Tex Beneke,1948
29,Underneath the Arches,Primo Scala,1948
30,On a Slow Boat to China,Kay Kyser,1948
30,Woody Woodpecker,The Sportsmen and Mel Blanc,1948
31,I'll Dance at Your Wedding,Ray Noble and Buddy Clark,1948
32,The Dicky-Bird Song,Freddy Martin,1948
33,I'm Looking Over a Four Leaf Clover,Russ Morgan and Milt Herth,1948
34,How Soon,Vaughn Monroe,1948
35,Serenade of the Bells,Jo Stafford,1948
1,Riders in the Sky,Vaughn Monroe,1949
2,That Lucky Old Sun,Frankie Laine,1949
3,You're Breaking My Heart,Vic Damone,1949
4,Some Enchanted Evening,Perry Como,1949
5,Slippin' Around,Jimmy Wakely and Margaret Whiting,1949
6,"I Can Dream, Can't I?",The Andrews Sisters and Gordon Jenkins,1949
7,Cruising Down the River,Russ Morgan Orchestra,1949
8,A Little Bird Told Me,Evelyn Knight and The Stardusters,1949
9,Mule Train,Frankie Laine,1949
10,Jealous Heart,Al Morgan,1949
11,Cruising Down the River,Blue Barron Orchestra,1949
12,Someday,Vaughn Monroe,1949
13,Again,Gordon Jenkins Orchestra,1949
14,Forever and Ever,Russ Morgan,1949
15,Forever and Ever,Perry Como,1949
16,"Don't Cry, Joe",Gordon Jenkins Orchestra,1949
17,Room Full of Roses,Sammy Kaye,1949
18,Far Away Places,Bing Crosby and Ken Darby Choir,1949
19,Buttons and Bows,Dinah Shore,1949
20,Galway Bay,Bing Crosby,1949
21,Red Roses for a Blue Lady,Vaughn Monroe,1949
22,So Tired,Russ Morgan,1949
23,Powder Your Face with Sunshine,Evelyn Knight,1949
24,"Baby, It's Cold Outside",Johnny Mercer and Margaret Whiting,1949
25,Whispering Hope,Jo Stafford and Gordon MacRae,1949
26,Maybe It's Because,Dick Haymes,1949
27,Careless Hands,Sammy Kaye Orchestra,1949
28,'A' You're Adorable,Perry Como and The Fontane Sisters,1949
29,The Hucklebuck,Tommy Dorsey Orchestra and Charlie Shavers,1949
30,I Don't See Me in Your Eyes Anymore,Gordon Jenkins Orchestra and The Stardusters,1949
1,Goodnight Irene,Gordon Jenkins & The Weavers,1950
2,Mona Lisa,Nat King Cole,1950
3,Third Man Theme,Anton Karas,1950
4,Sam's Song,Gary & Bing Crosby,1950
5,Simple Melody,Gary & Bing Crosby,1950
6,"Music, Music, Music",Teresa Brewer,1950
7,Third Man Theme,Guy Lombardo,1950
8,Chattanoogie Shoe Shine Boy,Red Foley,1950
9,Harbor Lights,Sammy Kaye,1950
10,It Isn't Fair,Sammy Kaye & Don Cornell,1950
11,If I Knew You Were Coming I'd have Baked a Cake,Eileen Barton,1950
12,Bonaparte's Retreat,Kay Starr,1950
13,"Tzena, Tzena, Tzena",Gordon Jenkins & The Weavers,1950
14,There's No Tomorrow,Tony Martin,1950
15,The Thing,Phil Harris,1950
16,Sentimental Me,Ames Brothers,1950
17,I Wanna Be Loved,Andrews Sisters & Gordon Jenkins,1950
18,Tennessee Waltz,Patti Page,1950
19,"I Can Dream, Can't I",Andrews Sisters & Gordon Jenkins,1950
20,I'll Never Be Free,Tennessee Ernie Ford & Kay Starr,1950
21,All My Love,Patti Page,1950
22,My Foolish Heart,Gordon Jenkins,1950
23,Rag Mop,Ames Brothers,1950
24,Bewitched,Bill Snyder,1950
25,Hoop-Dee-Doo,Perry Como,1950
26,Bewitched,Gordon Jenkins,1950
27,Can Anyone Explain?,Ames Brothers,1950
28,My Foolish Heart,Billy Eckstine,1950
29,Dear Hearts and Gentle People,Bing Crosby,1950
30,The Cry of the Wild Goose,Frankie Laine,1950
1,Too Young,Nat King Cole,1951
2,Because of You,Tony Bennett,1951
3,How High the Moon,Les Paul & Mary Ford,1951
4,Come on-a My House,Rosemary Clooney,1951
5,Be My Love,Mario Lanza,1951
6,On Top of Old Smoky,The Weavers,1951
7,"Cold, Cold Heart",Tony Bennett,1951
8,Ataypura!,Yma Sumac,1951
9,The Loveliest Night of the Year,Mario Lanza,1951
10,Tennessee Waltz,Patti Page,1951
11,Jezebel,Frankie Laine,1951
12,I Get Ideas,Tony Martin,1951
13,Mockin' Bird Hill,Les Paul & Mary Ford,1951
14,Mockin' Bird Hill,Patti Page,1951
15,My Heart Cries for You,Guy Mitchell & Mitch Miller,1951
16,(It's No) Sin,Eddy Howard,1951
17,Sound Off,Vaughn Monroe,1951
18,Sweet Violets,Dinah Shore,1951
19,The World Is Waiting for the Sunrise,Les Paul & Mary Ford,1951
20,"My Truly, Truly Fair",Guy Mitchell & Mitch Miller,1951
21,(It's No) Sin,The Four Aces,1951
22,Aba Daba Honeymoon,Debbie Reynolds & Carleton Carpenter,1951
23,"Rose, Rose, I Love You",Frankie Laine,1951
24,Down Yonder,Del Wood,1951
25,I Apologize,Billy Eckstine,1951
26,"Would I Love You (Love You, Love You)",Patti Page,1951
27,You're Just in Love,Perry Como & The Fontane Sisters,1951
28,Undecided,Ames Brothers with The Les Brown Orchestra,1951
29,The Thing,Phil Harris,1951
30,Because of You,Les Baxter,1951
1,Blue Tango,Leroy Anderson,1952
2,Wheel of Fortune,Kay Starr,1952
3,Cry,Johnnie Ray & The Four Lads,1952
4,You Belong to Me,Jo Stafford,1952
5,"Auf Wiederseh'n, Sweetheartcode: deu promoted to code: de ",Vera Lynn,1952
6,Half as Much,Rosemary Clooney,1952
7,Wish You Were Here,Eddie Fisher,1952
8,I Went to Your Wedding,Patti Page,1952
9,Here in My Heart,Al Martino,1952
10,Delicadocode: por promoted to code: pt ,Percy Faith,1952
11,Kiss of Fire,Georgia Gibbs,1952
12,Anytime,Eddie Fisher,1952
13,Tell Me Why,The Four Aces,1952
14,The Blacksmith Blues,Ella Mae Morse,1952
15,Jambalaya (On the Bayou),Jo Stafford,1952
16,Botch-a-Me (Ba-Ba-Baciami Piccina),Rosemary Clooney,1952
17,A Guy Is a Guy,Doris Day,1952
18,The Little White Cloud That Cried,Johnnie Ray,1952
19,High Noon,Frankie Laine,1952
20,I'm Yours,Eddie Fisher,1952
21,The Glow-Worm,The Mills Brothers,1952
22,It's in the Book,Johnny Standley,1952
23,Slow Poke,Pee Wee King,1952
24,Walkin' My Baby Back Home,Johnnie Ray,1952
25,Meet Mister Callaghan,Les Paul,1952
26,I'm Yours,Don Cornell,1952
27,I'll Walk Alone,Don Cornell,1952
28,Tell Me Why,Eddie Fisher,1952
29,Trying,The Hilltoppers,1952
30,"Please, Mr. Sun",Johnnie Ray & The Four Lads,1952
1,The Song from Moulin Rouge,Percy Faith,1953
2,Vaya con Dios,Les Paul & Mary Ford,1953
3,(How Much Is) That Doggie in the Window?,Patti Page,1953
4,I'm Walking Behind You,Eddie Fisher,1953
5,"You, You, You",Ames Brothers,1953
6,Till I Waltz Again with You,Teresa Brewer,1953
7,April in Portugal,Les Baxter,1953
8,No Other Love,Perry Como,1953
9,Don't Let the Stars Get in Your Eyes,Perry Como,1953
10,I Believe,Frankie Laine,1953
11,Oh,Pee Wee Hunt,1953
12,Ebb Tide,Frank Chacksfield,1953
13,Pretend,Nat King Cole,1953
14,Ruby,Richard Hayman,1953
15,St. George and the Dragonet,Stan Freberg,1953
16,P.S. I Love You,The Hilltoppers,1953
17,Tell Me You're Mine,The Gaylords,1953
18,"Eh, Cumpari!",Julius La Rosa,1953
19,Rags to Riches,Tony Bennett,1953
20,Anna,Silvana Mangano,1953
21,Say You're Mine Again,Perry Como,1953
22,Dragnet,Ray Anthony,1953
23,Tell Me a Story,Jimmy Boyd & Frankie Laine,1953
24,Crying in the Chapel,June Valli,1953
25,Why Don't You Believe Me?,Joni James,1953
26,Your Cheatin' Heart,Joni James,1953
27,Limelight (Terry's Theme),Frank Chacksfield,1953
28,With These Hands,Eddie Fisher,1953
29,C'est si bon,Eartha Kitt,1953
30,Have You Heard?,Joni James,1953
1,Little Things Mean a Lot,Kitty Kallen,1954
2,Wanted,Perry Como,1954
3,Hey There,Rosemary Clooney,1954
4,Sh-Boom,The Crew-Cuts,1954
5,Make Love to Me,Jo Stafford,1954
6,Oh! My Pa-Pa,Eddie Fisher,1954
7,(Oh Baby Mine) I Get So Lonely,The Four Knights,1954
8,Three Coins in the Fountain,The Four Aces,1954
9,Secret Love,Doris Day,1954
10,Hernando's Hideaway,Archie Bleyer,1954
11,Young at Heart,Frank Sinatra,1954
12,This Ole House,Rosemary Clooney,1954
13,I Need You Now,Eddie Fisher,1954
14,Cross Over the Bridge,Patti Page,1954
15,The Little Shoemaker,The Gaylords,1954
16,That's Amore,Dean Martin,1954
17,The Happy Wanderer,Frank Weir,1954
18,"Answer Me, My Love",Nat King Cole,1954
19,Stranger in Paradise,Tony Bennett,1954
20,If I Give My Heart to You,Doris Day,1954
21,If You Love Me (Really Love Me),Kay Starr,1954
22,Skokiaan,Ralph Marterie,1954
23,Hold My Hand,Don Cornell,1954
24,Changing Partners,Patti Page,1954
25,Papa Loves Mambo,Perry Como,1954
26,"Shake, Rattle and Roll",Bill Haley & His Comets,1954
27,Rags to Riches,Tony Bennett,1954
28,In the Chapel in the Moonlight,Kitty Kallen,1954
29,Stranger in Paradise,The Four Aces,1954
30,Here,Tony Martin,1954
1,Cherry Pink And Apple Blossom White,Perez Prado,1955
2,Rock Around the Clock,Bill Haley & His Comets,1955
3,The Yellow Rose of Texas,Mitch Miller,1955
4,Autumn Leaves,Roger Williams,1955
5,Unchained Melody,Les Baxter,1955
6,The Ballad of Davy Crockett,Bill Hayes,1955
7,Love Is a Many-Splendored Thing,The Four Aces,1955
8,Sincerely,The McGuire Sisters,1955
9,Ain't That a Shame,Pat Boone,1955
10,"The Wallflower (Dance with Me, Henry)",Georgia Gibbs,1955
11,The Crazy Otto Medley,Johnny Maddox,1955
12,Melody of Love,Billy Vaughn,1955
13,Sixteen Tons,Tennessee Ernie Ford,1955
14,Learnin' the Blues,Frank Sinatra,1955
15,Hearts of Stone,The Fontane Sisters,1955
16,Tweedle Dee,Georgia Gibbs,1955
17,Moments to Remember,The Four Lads,1955
18,Mr. Sandman,The Chordettes,1955
19,"Let Me Go, Lover!",Joan Weber,1955
20,A Blossom Fell,Nat King Cole,1955
21,Unchained Melody,Al Hibbler,1955
22,The Ballad of Davy Crockett,Fess Parker,1955
23,Honey-Babe,Art Mooney,1955
24,The Ballad of Davy Crockett,Tennessee Ernie Ford,1955
25,Ko Ko Mo (I Love You So),Perry Como,1955
26,Hard to Get,Gisele MacKenzie,1955
27,The Naughty Lady of Shady Lane,The Ames Brothers,1955
28,That's All I Want from You,Jaye P. Morgan,1955
29,Only You (And You Alone),The Platters,1955
30,It's a Sin to Tell a Lie,Somethin' Smith and the Redheads,1955
1,Heartbreak Hotel,Elvis Presley,1956
2,Don't Be Cruel,Elvis Presley,1956
3,Lisbon Antigua,Nelson Riddle,1956
4,My Prayer,The Platters,1956
5,The Wayward Wind,Gogi Grant,1956
6,Hound Dog,Elvis Presley,1956
7,The Poor People of Paris,Les Baxter,1956
8,"Que Sera, Sera (Whatever Will Be, Will Be)",Doris Day,1956
9,Memories Are Made of This,Dean Martin,1956
10,(The) Rock and Roll Waltz,Kay Starr,1956
11,Moonglow and Theme from Picnic,Morris Stoloff,1956
12,The Great Pretender,The Platters,1956
13,I Almost Lost My Mind,Pat Boone,1956
14,"I Want You, I Need You, I Love You",Elvis Presley,1956
15,Love Me Tender,Elvis Presley,1956
16,Hot Diggity (Dog Ziggity Boom),Perry Como,1956
17,Canadian Sunset,Eddie Heywood & Hugo Winterhalter,1956
18,Blue Suede Shoes,Carl Perkins,1956
19,Green Door,Jim Lowe,1956
20,"No, Not Much",The Four Lads,1956
21,Honky Tonk,Bill Doggett,1956
22,Sixteen Tons,Tennessee Ernie Ford,1956
23,Just Walkin' in the Rain,Johnnie Ray,1956
24,Allegheny Moon,Patti Page,1956
25,I'm in Love Again,Fats Domino,1956
26,Tonight You Belong to Me,Patience and Prudence,1956
27,Be-Bop-A-Lula,Gene Vincent,1956
28,Why Do Fools Fall in Love,Frankie Lymon and the Teenagers,1956
29,Standing on the Corner,The Four Lads,1956
30,The Flying Saucer,Buchanan & Goodman,1956
31,Moonglow and Theme from Picnic,George Cates,1956
32,Ivory Tower,Cathy Carr,1956
33,See You Later Alligator,Bill Haley & His Comets,1956
34,I'll Be Home,Pat Boone,1956
35,On the Street Where You Live,Vic Damone,1956
36,(You've Got) The Magic Touch,The Platters,1956
37,Born to Be with You,The Chordettes,1956
38,Band of Gold,Don Cherry,1956
39,More,Perry Como,1956
40,Singing the Blues,Guy Mitchell,1956
41,Blueberry Hill,Fats Domino,1956
42,The Fool,Sanford Clark,1956
43,The Happy Whistler,Don Robertson,1956
44,True Love,Bing Crosby & Grace Kelly,1956
45,Long Tall Sally,Little Richard,1956
46,A Sweet Old Fashioned Girl,Teresa Brewer,1956
47,Transfusion,Nervous Norvus,1956
48,It Only Hurts for a Little While,The Ames Brothers,1956
49,A Tear Fell,Teresa Brewer,1956
50,Rock Island Line,Lonnie Donegan,1956
1,All Shook Up,Elvis Presley,1957
2,Love Letters in the Sand,Pat Boone,1957
3,Little Darlin',The Diamonds,1957
4,Young Love,Tab Hunter,1957
5,So Rare,Jimmy Dorsey,1957
6,Don't Forbid Me,Pat Boone,1957
7,Singing the Blues,Guy Mitchell,1957
8,Young Love,Sonny James,1957
9,Too Much,Elvis Presley,1957
10,Round and Round,Perry Como,1957
11,Bye Bye Love,The Everly Brothers,1957
12,Tammy,Debbie Reynolds,1957
13,Party Doll,Buddy Knox,1957
14,Teddy Bear,Elvis Presley,1957
15,Day-O (The Banana Boat Song),Harry Belafonte,1957
16,Jailhouse Rock,Elvis Presley,1957
17,A White Sport Coat (and a Pink Carnation),Marty Robbins,1957
18,Come Go with Me,The Del-Vikings,1957
19,Wake Up Little Susie,The Everly Brothers,1957
20,You Send Me,Sam Cooke,1957
21,Searchin',The Coasters,1957
22,School Days,Chuck Berry,1957
23,Gone,Ferlin Husky,1957
24,Diana,Paul Anka,1957
25,A Teenager's Romance,Ricky Nelson,1957
26,The Banana Boat Song,The Tarriers,1957
27,Honeycomb,Jimmie Rodgers,1957
28,Whole Lotta Shakin' Goin On,Jerry Lee Lewis,1957
29,Dark Moon,Gale Storm,1957
30,That'll Be the Day,The Crickets,1957
31,Butterfly,Charlie Gracie,1957
32,Moonlight Gambler,Frankie Laine,1957
33,Teen-Age Crush,Tommy Sands,1957
34,It's Not for Me to Say,Johnny Mathis,1957
35,Silhouettes,The Rays,1957
36,Butterfly,Andy Williams,1957
37,Marianne,The Easy Riders,1957
38,I'm Walkin',Fats Domino,1957
39,Chances Are,Johnny Mathis,1957
40,Send for Me,Nat King Cole,1957
41,Rainbow,Russ Hamilton,1957
42,Be-Bop Baby,Ricky Nelson,1957
43,Short Fat Fannie,Larry Williams,1957
44,Green Door,Jim Lowe,1957
45,I'm Gonna Sit Right Down and Write Myself a Letter,Billy Williams,1957
46,Old Cape Cod,Patti Page,1957
47,Mr. Lee,The Bobbettes,1957
48,Blueberry Hill,Fats Domino,1957
49,Whispering Bells,The Del-Vikings,1957
50,Blue Monday,Fats Domino,1957
1,Volare (Nel blu dipinto di blu),Domenico Modugno,1958
2,"All I Have to Do Is Dream"" / ""Claudette",The Everly Brothers,1958
3,"Don't"" / ""I Beg of You",Elvis Presley,1958
4,Witch Doctor,David Seville,1958
5,Patricia,Perez Prado,1958
6,"Sail Along, Silv'ry Moon"" / ""Raunchy",Billy Vaughn,1958
7,"Catch a Falling Star"" / ""Magic Moments",Perry Como,1958
8,Tequila,The Champs,1958
9,It's All in the Game,Tommy Edwards,1958
10,Return to Me,Dean Martin,1958
11,It's Only Make Believe,Conway Twitty,1958
12,The Purple People Eater,Sheb Wooley,1958
13,"Bird Dog"" / ""Devoted to You",The Everly Brothers,1958
14,Get a Job,The Silhouettes,1958
15,Little Star,The Elegants,1958
16,Twilight Time,The Platters,1958
17,"Stood Up"" / ""Waitin' in School",Ricky Nelson,1958
18,He's Got the Whole World in His Hands,Laurie London,1958
19,Secretly,Jimmie Rodgers,1958
20,At the Hop,Danny & the Juniors,1958
21,Yakety Yak,The Coasters,1958
22,"Wear My Ring Around Your Neck"" / ""Doncha' Think It's Time",Elvis Presley,1958
23,"Rockin' Robin"" / ""Over and Over",Bobby Day,1958
24,Poor Little Fool,Ricky Nelson,1958
25,"A Wonderful Time Up There"" / ""It's Too Soon to Know",Pat Boone,1958
26,Just a Dream,Jimmy Clanton,1958
27,Sugartime,The McGuire Sisters,1958
28,Tom Dooley,The Kingston Trio,1958
29,Sweet Little Sixteen,Chuck Berry,1958
30,"Topsy II"" / ""Topsy I",Cozy Cole,1958
31,"Looking Back"" / ""Do I Like It",Nat King Cole,1958
32,Book of Love,The Monotones,1958
33,Tea for Two Cha Cha,Tommy Dorsey Orchestra & Warren Covington,1958
34,Tears on My Pillow,Little Anthony and the Imperials,1958
35,Short Shorts,The Royal Teens,1958
36,Great Balls of Fire,Jerry Lee Lewis,1958
37,Lollipop,The Chordettes,1958
38,Splish Splash,Bobby Darin,1958
39,Who's Sorry Now?,Connie Francis,1958
40,"My True Love"" / ""Leroy",Jack Scott,1958
41,Endless Sleep,Jody Reynolds,1958
42,Do You Want to Dance?,Bobby Freeman,1958
43,When,The Kalin Twins,1958
44,To Know Him Is to Love Him,The Teddy Bears,1958
45,April Love,Pat Boone,1958
46,Rebel-'Rouser,Duane Eddy,1958
47,Oh Julie,The Crescendos,1958
48,The Stroll,The Diamonds,1958
49,"Hard Headed Woman"" / ""Don't Ask Me Why",Elvis Presley,1958
50,Peggy Sue,Buddy Holly,1958
1,The Battle of New Orleans,Johnny Horton,1959
2,Mack the Knife,Bobby Darin,1959
3,Personality,Lloyd Price,1959
4,Venus,Frankie Avalon,1959
5,Lonely Boy,Paul Anka,1959
6,Dream Lover,Bobby Darin,1959
7,The Three Bells,The Browns,1959
8,Come Softly to Me,The Fleetwoods,1959
9,Kansas City,Wilbert Harrison,1959
10,Mr. Blue,The Fleetwoods,1959
11,Sleep Walk,Santo & Johnny,1959
12,Put Your Head on My Shoulder,Paul Anka,1959
13,Stagger Lee,Lloyd Price,1959
14,Donna,Ritchie Valens,1959
15,Pink Shoe Laces,Dodie Stevens,1959
16,Smoke Gets in Your Eyes,The Platters,1959
17,Charlie Brown,The Coasters,1959
18,Quiet Village,Martin Denny,1959
19,My Heart Is an Open Book,Carl Dobkins Jr.,1959
20,(Till) I Kissed You,The Everly Brothers,1959
21,Sea of Love,Phil Phillips,1959
22,The Happy Organ,Dave Cortez,1959
23,I'm Gonna Get Married,Lloyd Price,1959
24,Sorry (I Ran All the Way Home),The Impalas,1959
25,A Teenager in Love,Dion and the Belmonts,1959
26,16 Candles,The Crests,1959
27,It's Just a Matter of Time,Brook Benton,1959
28,Lipstick on Your Collar,Connie Francis,1959
29,There Goes My Baby,The Drifters,1959
30,A Big Hunk o' Love,Elvis Presley,1959
31,Red River Rock,Johnny and the Hurricanes,1959
32,Waterloo,Stonewall Jackson,1959
33,Lavender's Blue,Sammy Turner,1959
34,(Now and Then There's) A Fool Such as I,Elvis Presley,1959
35,Guitar Boogie Shuffle,The Virtues,1959
36,Teen Beat,Sandy Nelson,1959
37,"Kookie, Kookie (Lend Me Your Comb)",Edd Byrnes & Connie Stevens,1959
38,Tragedy,Thomas Wayne,1959
39,My Happiness,Connie Francis,1959
40,Tallahassee Lassie,Freddy Cannon,1959
41,Tiger,Fabian,1959
42,Never Be Anyone Else But You,Ricky Nelson,1959
43,Don't You Know?,Della Reese,1959
44,I Need Your Love Tonight,Elvis Presley,1959
45,What a Diff'rence a Day Makes,Dinah Washington,1959
46,The All American Boy,Bill Parsons,1959
47,Primrose Lane,Jerry Wallace,1959
48,Alvin's Harmonica,The Chipmunks,1959
49,Lonely Street,Andy Williams,1959
50,What'd I Say,Ray Charles,1959
51,Broken Hearted Melody,Sarah Vaughan,1959
52,Only You (And You Alone),Franck Pourcel,1959
53,Gotta Travel On,Billy Grammer,1959
54,Poison Ivy,The Coasters,1959
55,Turn Me Loose,Fabian,1959
56,Lonely Teardrops,Jackie Wilson,1959
57,Hawaiian Wedding Song,Andy Williams,1959
58,Forty Miles of Bad Road,Duane Eddy,1959
59,Just Ask Your Heart,Frankie Avalon,1959
60,Tell Him No,Travis and Bob,1959
61,Frankie,Connie Francis,1959
62,I've Had It,The Bell Notes,1959
63,I Cried a Tear,LaVern Baker,1959
64,Enchanted,The Platters,1959
65,Since I Don't Have You,The Skyliners,1959
66,Peter Gunn Theme,Ray Anthony,1959
67,The Chipmunk Song (Christmas Don't Be Late),The Chipmunks,1959
68,I Want to Walk You Home,Fats Domino,1959
69,So Fine,The Fiestas,1959
70,Bobby Sox to Stockings,Frankie Avalon,1959
71,The Deck of Cards,Wink Martindale,1959
72,A Lover's Question,Clyde McPhatter,1959
73,I Only Have Eyes for You,The Flamingos,1959
74,It's Late,Ricky Nelson,1959
75,Petite Fleur,Chris Barber's Jazz Band,1959
76,Tall Paul,Annette Funicello,1959
77,The Tijuana Jail,The Kingston Trio,1959
78,Just a Little Too Much,Ricky Nelson,1959
79,Goodbye Baby,Jack Scott,1959
80,Along Came Jones,The Coasters,1959
81,Three Stars,Tommy Dee & Carol Kay,1959
82,A Boy Without a Girl,Frankie Avalon,1959
83,Sweeter Than You,Ricky Nelson,1959
84,It Was I,Skip & Flip,1959
85,"Goodbye Jimmy, Goodbye",Kathy Linden,1959
86,Manhattan Spiritual,Reg Owen Orchestra,1959
87,Endlessly,Brook Benton,1959
88,Heartaches by the Number,Guy Mitchell,1959
89,Sea Cruise,Frankie Ford,1959
90,That's Why (I Love You So),Jackie Wilson,1959
91,You're So Fine,The Falcons,1959
92,Kissin' Time,Bobby Rydell,1959
93,My Wish Came True,Elvis Presley,1959
94,Morgen,Ivo Robić,1959
95,Baby Talk,Jan and Dean,1959
96,Take a Message to Mary,The Everly Brothers,1959
